CHILD: 69509 | Client: namnk | Type=0x10 | Length=8 | Value="namnk123"
CHILD: 69509 | Client: namnk | Type=0x10 | Length=1 | Value="a"
CHILD: 69509 | Client: namnk | Type=0x10 | Length=1 | Value="a"
CHILD: 69509 | Client: namnk | Type=0x10 | Length=1 | Value="a"
CHILD: 69509 | Client: namnk | Type=0x10 | Length=1 | Value="a"
CHILD: 11215 | Client: admin | Type=0x10 | Length=8 | Value="admin123"
CHILD: 11215 | Client: admin | Type=0x10 | Length=5 | Value="hello"
CHILD: 11215 | Client: admin | Type=0x10 | Length=6 | Value="ok bro"
CHILD: 11215 | Client: admin | Type=0x10 | Length=3 | Value="bye"
CHILD: 11215 | Client: admin | Type=0x10 | Length=8 | Value="admin123"
CHILD: 11215 | Client: admin | Type=0x10 | Length=3 | Value="bye"
CHILD: 11215 | Client: admin | Type=0x10 | Length=4 | Value="okok"
CHILD: 11215 | Client: admin | Type=0x10 | Length=3 | Value="bye"
